TCCON,OCO2,Time
390.37,415.32706,326
389.95,414.93405,327
390.29,416.54617,328
390.72,413.7861,329
390.44,415.62625,330
390.22,414.50226,331
390.49,416.1345,332
389.86,414.1143,333
390.5,415.7592,334
389.97,414.7069,335
390.17,415.61108,336
389.93,413.72516,337
390.19,416.19568,338
389.72,414.8605,339
390.21,414.0415,340
390.08,414.08234,341
390.55,413.13492,342
390.08,413.77338,343
390.41,415.01166,344
390.44,415.84607,345
390.43,414.40463,346
389.85,415.9841,347
390.28,414.7751,348
390.66,414.6715,349
390.17,414.85443,350
390.35,415.4977,351
390.2,415.37436,352
390.41,415.23926,353
389.91,415.12585,354
389.72,414.21487,355
390.4,415.24072,356
390.18,414.16675,357
390.4,415.46164,358
390.12,415.5033,359
389.92,415.29803,360
389.84,414.61255,361
389.74,414.8641,362
390.02,415.09128,363
390.52,415.30002,364
388.06,415.81006,365
390.26,415.2475,366
390.47,415.2804,367
390.06,413.76703,368
390.21,414.61377,369
390.14,414.91025,370
390,415.59976,371
389.92,416.03885,372
390.48,414.67966,373
390.26,415.47833,374
389.14,415.61307,375
390.4,415.54636,376
390.53,415.22772,377
389.93,415.83752,378
390.07,415.17325,379
389.92,414.70224,380
390.12,415.0225,381
390.43,415.4221,382
390.32,415.83734,383
390.38,415.1557,384
390.4,415.7554,385
390.14,414.07938,386
389.92,415.8677,387
390.1,415.2577,388
390.34,415.2812,389
389.65,414.7424,390
390.5,415.3294,391
390.47,415.2179,392
390.36,415.36777,393
390.01,414.56522,394
389.62,415.71893,395
390.6,415.1578,396
389.43,415.10883,397
388.56,415.28558,398
389.72,415.90802,399
390.28,415.049,400
390.57,414.85733,401
390.05,415.15555,402
388.95,415.79254,403
390.29,415.81415,404
390.24,415.83273,405
390.57,415.30396,406
390.2,414.8425,407
390.53,414.89523,408
390.26,415.38202,409
390.3,415.43146,410
390.07,415.81226,411
390.62,415.79208,412
390.13,415.2475,413
390.25,415.27005,414
390.16,414.9987,415
390.24,414.7633,416
390.46,414.9967,417
390.05,415.64648,418
389.95,415.14615,419
390.48,415.2926,420
389.59,414.94424,421
390.09,413.97122,422
390.44,415.3047,423
389.77,415.44684,424
389.99,415.17627,425
390.4,415.03064,426
390.47,415.8972,427
389.99,414.12735,428
389.56,413.89157,429
390.04,414.93387,430
390.08,415.4631,431
390.31,415.55524,432
390.3,415.25,433
390.14,414.81415,434
390.04,414.89847,435
390.43,414.80527,436
390.09,413.87427,437
390.91,415.25958,438
390.56,415.63797,439
390.21,415.2561,440
390.6,414.96313,441
390.16,414.65417,442
390.23,416.46918,443
390.23,415.1973,444
390.27,415.70596,445
390.04,415.4148,446
390.62,415.4336,447
390.43,415.30804,448
389.85,415.68674,449
389.96,415.24963,450
390.17,416.05035,451
390.42,413.85257,452
389.93,415.26486,453
390.09,415.7551,454
390.49,415.71793,455
389.98,415.25122,456
390.04,415.8452,457
390.06,415.25192,458
390.26,415.66443,459
390.4,415.27344,460
389.71,415.34045,461
390.25,415.4907,462
389.88,415.2739,463
390.01,415.19168,464
390.12,415.57068,465
389.9,415.50287,466
389.96,416.06085,467
389.84,414.98773,468
389.82,415.11658,469
390.47,415.61127,470
390.11,414.65756,471
390.38,415.0265,472
390.02,415.4742,473
390.06,414.72992,474
389.79,415.4192,475
389.98,414.79922,476
389.97,415.30536,477
390.02,415.9046,478
390.31,415.46307,479
390.22,415.24487,480
389.96,415.53705,481
389.91,415.01654,482
389.52,415.6666,483
389.18,415.7115,484
390.02,416.03882,485
389.95,415.20862,486
389.5,415.50064,487
389.56,415.46832,488
389.75,415.79242,489
389.52,414.90958,490
389.75,416.0671,491
389.68,414.9059,492
389.63,415.25806,493
389.94,415.38824,494
389.67,415.47916,495
389.36,415.41968,496
390.02,415.12024,497
389.51,415.4884,498
389.94,415.70392,499
388.97,415.12323,500
388.27,415.13342,501
387.72,415.66608,502
387.84,415.47736,503
388.02,414.87225,504
388.27,415.8825,505
388.89,415.63763,506
388.44,415.75418,507
389.02,415.21384,508
389.72,415.36234,509
389.35,415.0029,510
389.6,415.74872,511
390.46,414.14026,512
389.8,415.68082,513
389.86,416.0768,514
389.7,415.6693,515
389.23,415.37222,516
388.59,415.73523,517
390.02,415.57413,518
389.34,415.35565,519
389.68,415.0049,520
390.6,415.06116,521
389.82,415.3434,522
389.95,415.67218,523
389.48,415.43658,524
389.59,415.8785,525
389.11,414.9072,526
388.46,415.71112,527
390.04,415.48065,528
389.97,415.39197,529
388.38,415.37677,530
389.9,415.68112,531
389.61,415.23944,532
390.29,416.22333,533
390.01,415.5357,534
390.65,415.3356,535
390.11,415.87692,536
389.86,416.45627,537
389.84,414.7165,538
389.66,415.37802,539
390.03,415.16354,540
390.54,415.5618,541
390.98,415.46716,542
390.01,415.3384,543
389.8,415.21896,544
390.34,415.3509,545
390.25,414.70023,546
390.44,414.65442,547
389.52,414.84763,548
389.86,415.3942,549
389.92,415.63385,550
389.78,415.78113,551
389.99,414.6609,552
390.03,414.89392,553
390.88,414.34918,554
390.3,414.7787,555
390.14,415.20712,556
390.26,415.3947,557
389.44,415.27817,558
391.04,414.7466,559
390.54,413.8337,560
391.77,414.96625,561
390.26,415.38147,562
389.95,415.08658,563
